GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households,Total; Estimate; With one or more people 60 years and over,Total; Margin of Error; With one or more people 60 years and over,Households receiving food stamps; Estimate; With one or more people 60 years and over,Households receiving food stamps; Margin of Error; With one or more people 60 years and over,Households not receiving food stamps; Estimate; With one or more people 60 years and over,Households not receiving food stamps; Margin of Error; With one or more people 60 years and over,Total; Estimate; With children under 18 years,Total; Margin of Error; With children under 18 years,Households receiving food stamps; Estimate; With children under 18 years,Households receiving food stamps; Margin of Error; With children under 18 years,Households not receiving food stamps; Estimate; With children under 18 years,Households not receiving food stamps; Margin of Error; With children under 18 years,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; DISABILITY STATUS - With one or more people with a disability,Total; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Households receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),Households not receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households not receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Households receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households receiving food stamps; Margin of Error; White alone, not Hispanic or Latino","Households not receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households not receiving food stamps; Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Estimate; WORK STATUS - Families,Total; Margin of Error; WORK STATUS - Families,Households receiving food stamps; Estimate; WORK STATUS - Families,Households receiving food stamps; Margin of Error; WORK STATUS - Families,Households not receiving food stamps; Estimate; WORK STATUS - Families,Households not receiving food stamps; Margin of Error; WORK STATUS - Families,Total; Estimate; WORK STATUS - No workers in past 12 months,Total; Margin of Error; WORK STATUS - No workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - No workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - No workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - No workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - No workers in past 12 months,Total; Estimate; WORK STATUS - 1 worker in past 12 months,Total; Margin of Error; WORK STATUS - 1 worker in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - 1 worker in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - 1 worker in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - 1 worker in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - 1 worker in past 12 months,Total; Estimate; WORK STATUS - 2 or more workers in past 12 months,Total; Margin of Error; WORK STATUS - 2 or more workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - 2 or more workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - 2 or more workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - 2 or more workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - 2 or more workers in past 12 months,Total; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Total; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency
0100000US,,United States,115241776,102150,14777276,30765,100464500,102266,34.8,0.1,25.7,0.1,36.2,0.1,32.8,0.1,55.3,0.1,29.5,0.1,14.4,0.1,52.3,0.1,8.8,0.1,24.5,0.1,43.7,0.1,21.7,0.1,98.3,0.1,97.3,0.1,98.4,0.1,78.0,0.1,61.1,0.1,80.5,0.1,12.0,0.1,26.1,0.1,10.0,0.1,0.7,0.1,1.4,0.1,0.6,0.1,4.1,0.1,2.3,0.1,4.3,0.1,0.1,0.1,0.2,0.1,0.1,0.1,3.3,0.1,6.1,0.1,2.9,0.1,1.7,0.1,2.7,0.1,1.6,0.1,11.8,0.1,20.3,0.1,10.6,0.1,70.2,0.1,48.4,0.1,73.4,0.1,51771,43,18672,54,57955,59,76312668,89527,10587494,23433,65725174,92577,14.9,0.1,23.8,0.1,13.5,0.1,33.5,0.1,47.8,0.1,31.2,0.1,51.6,0.1,28.4,0.1,55.3,0.1,1.2,(X),(X),(X),(X),(X)
0400000US01,01,Alabama,1837823,5777,295415,4301,1542408,6261,36.0,0.2,23.2,0.5,38.5,0.2,32.2,0.3,56.2,0.8,27.6,0.3,18.3,0.2,57.7,0.8,10.7,0.2,31.1,0.2,46.4,0.8,28.1,0.3,99.1,0.1,98.7,0.2,99.1,0.1,71.5,0.2,46.4,0.7,76.4,0.2,25.3,0.2,50.3,0.7,20.5,0.2,0.5,0.1,0.6,0.1,0.5,0.1,1.0,0.1,0.4,0.1,1.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.7,0.1,1.0,0.2,0.7,0.1,0.9,0.1,1.3,0.2,0.9,0.1,2.5,0.1,3.4,0.3,2.3,0.1,70.0,0.2,44.3,0.7,74.9,0.2,42054,258,15937,331,49237,398,1240976,6484,217423,4199,1023553,5999,18.9,0.3,28.2,0.8,16.9,0.3,35.4,0.3,47.6,0.9,32.8,0.4,45.7,0.3,24.2,0.9,50.3,0.4,1.9,(X),(X),(X),(X),(X)
0400000US02,02,Alaska,253718,1595,27068,1404,226650,1862,26.6,0.4,23.9,2.0,26.9,0.5,36.6,0.7,60.9,2.4,33.7,0.8,8.5,0.5,34.1,2.7,5.4,0.4,23.1,0.7,44.7,2.6,20.5,0.8,95.2,0.4,90.2,1.8,95.8,0.4,74.9,0.4,44.8,2.4,78.5,0.6,3.4,0.2,4.6,1.2,3.2,0.3,11.5,0.4,33.0,2.2,8.9,0.4,3.7,0.2,4.4,1.1,3.6,0.3,0.7,0.1,2.1,0.7,0.5,0.1,1.0,0.2,1.2,0.7,0.9,0.2,4.8,0.4,9.8,1.8,4.2,0.4,4.4,0.3,4.9,1.1,4.3,0.3,72.4,0.5,42.7,2.5,75.9,0.6,68818,1039,25804,1419,74258,1115,169388,2085,19135,1164,150253,2220,8.6,0.6,15.6,2.2,7.7,0.6,32.0,0.8,50.1,2.7,29.7,0.9,59.3,1.0,34.3,2.9,62.5,1.0,0.7,(X),(X),(X),(X),(X)
0400000US04,04,Arizona,2357799,7293,326631,5705,2031168,8067,36.5,0.2,23.8,0.7,38.6,0.2,32.3,0.2,59.2,1.0,28.0,0.3,15.4,0.2,50.0,0.9,9.9,0.2,23.5,0.2,37.3,0.8,21.3,0.3,98.3,0.1,97.3,0.3,98.5,0.1,83.9,0.2,71.6,0.7,85.9,0.2,4.0,0.1,7.0,0.4,3.5,0.1,3.2,0.1,7.6,0.3,2.5,0.1,2.5,0.1,1.3,0.2,2.7,0.1,0.1,0.1,0.2,0.1,0.1,0.1,4.6,0.1,9.6,0.5,3.8,0.1,1.7,0.1,2.7,0.3,1.5,0.1,21.5,0.2,38.8,0.7,18.7,0.2,68.0,0.2,44.2,0.8,71.8,0.2,48307,351,21749,402,53681,323,1548271,7651,246490,4298,1301781,8047,18.7,0.3,20.4,0.7,18.4,0.3,35.9,0.4,49.1,0.9,33.4,0.5,45.4,0.4,30.5,0.8,48.3,0.4,1.6,(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,1129845,4389,167337,3420,962508,4493,36.0,0.2,21.5,1.0,38.5,0.3,32.3,0.3,56.6,1.0,28.1,0.4,18.2,0.4,58.6,1.2,11.2,0.3,31.8,0.4,46.8,1.2,29.2,0.4,98.6,0.1,98.1,0.3,98.7,0.1,80.6,0.2,63.4,0.8,83.5,0.3,14.9,0.2,31.6,0.9,12.0,0.2,0.6,0.1,0.8,0.2,0.6,0.1,1.0,0.1,0.3,0.1,1.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1.4,0.1,1.8,0.3,1.3,0.1,1.4,0.1,1.9,0.3,1.3,0.1,4.3,0.1,5.7,0.6,4.0,0.2,77.9,0.2,60.0,0.8,81.0,0.3,40104,354,16263,424,45615,342,762766,5384,119319,2758,643447,5489,18.0,0.3,25.6,1.1,16.6,0.3,34.9,0.5,50.1,1.5,32.1,0.5,47.1,0.5,24.2,1.3,51.4,0.5,1.0,(X),(X),(X),(X),(X)
0400000US06,06,California,12474950,11248,1030963,7959,11443987,13591,34.3,0.1,19.6,0.4,35.6,0.1,36.7,0.1,74.5,0.4,33.3,0.1,14.4,0.1,52.1,0.5,11.0,0.1,22.3,0.1,33.8,0.4,21.2,0.1,97.1,0.1,96.2,0.2,97.2,0.1,67.8,0.1,56.6,0.4,68.8,0.1,6.6,0.1,12.6,0.3,6.0,0.1,0.7,0.1,1.4,0.1,0.7,0.1,12.4,0.1,6.8,0.2,12.9,0.1,0.3,0.1,0.5,0.1,0.3,0.1,9.3,0.1,18.2,0.3,8.5,0.1,2.9,0.1,3.8,0.2,2.8,0.1,27.6,0.1,51.2,0.4,25.4,0.1,50.9,0.1,26.4,0.4,53.1,0.1,59368,193,23612,280,63606,167,8539464,14517,896487,7849,7642977,16058,13.4,0.1,22.6,0.4,12.3,0.1,34.8,0.1,45.4,0.5,33.6,0.2,51.8,0.2,32.0,0.5,54.1,0.2,1.1,(X),(X),(X),(X),(X)
0400000US08,08,Colorado,1977737,4259,167849,3581,1809888,5225,30.1,0.2,21.4,1.0,30.9,0.2,32.3,0.3,57.5,1.1,30.0,0.3,12.4,0.2,52.1,1.2,8.8,0.2,20.6,0.2,41.3,1.2,18.6,0.2,97.9,0.1,96.3,0.4,98.0,0.1,87.3,0.2,71.9,1.0,88.8,0.2,3.8,0.1,9.8,0.7,3.2,0.1,0.8,0.1,2.7,0.4,0.7,0.1,2.3,0.1,1.8,0.3,2.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.5,0.1,10.0,0.7,2.9,0.1,2.1,0.1,3.7,0.4,2.0,0.1,15.2,0.1,35.6,1.2,13.3,0.2,76.7,0.2,49.5,1.2,79.3,0.2,56837,342,19533,574,61311,363,1265794,6430,117362,3069,1148432,6337,11.8,0.2,19.4,1.2,11.0,0.2,32.1,0.4,48.6,1.6,30.4,0.4,56.1,0.4,32.0,1.4,58.6,0.4,1.1,(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,1355973,3713,150621,2939,1205352,3930,36.4,0.2,30.1,1.0,37.2,0.2,32.4,0.3,46.9,1.3,30.6,0.3,10.3,0.2,47.6,1.2,5.7,0.2,21.6,0.3,44.9,1.2,18.7,0.3,98.5,0.1,96.6,0.5,98.8,0.1,81.9,0.2,57.5,1.3,84.9,0.2,9.3,0.1,23.7,1.0,7.6,0.1,0.2,0.1,0.5,0.2,0.2,0.1,3.1,0.1,1.5,0.3,3.3,0.1,0.0,0.1,0.1,0.1,0.0,0.1,3.9,0.1,13.3,0.9,2.8,0.1,1.5,0.1,3.4,0.5,1.2,0.1,10.7,0.2,33.2,1.2,7.8,0.1,75.9,0.2,40.6,1.2,80.3,0.2,67544,505,18105,627,74927,536,897414,5248,98170,2740,799244,4929,12.5,0.3,25.6,1.1,10.8,0.2,31.4,0.4,47.3,1.5,29.5,0.4,56.1,0.4,27.1,1.3,59.7,0.4,1.1,(X),(X),(X),(X),(X)
0400000US10,10,Delaware,334228,1987,41815,1451,292413,2222,37.6,0.4,25.8,1.7,39.3,0.5,32.0,0.5,58.8,2.1,28.2,0.6,10.9,0.4,40.3,2.1,6.6,0.4,24.4,0.6,40.3,2.3,22.1,0.7,N,N,N,N,N,N,74.3,0.4,50.1,2.2,77.8,0.6,19.7,0.4,41.7,2.3,16.5,0.5,0.3,0.1,0.4,0.2,0.3,0.1,2.7,0.1,1.3,0.6,2.9,0.2,N,N,N,N,N,N,1.6,0.2,3.7,1.0,1.3,0.2,1.3,0.2,2.8,0.7,1.1,0.2,5.5,0.3,11.7,1.3,4.6,0.3,70.9,0.4,43.4,2.0,74.8,0.5,59144,748,24525,1051,64612,687,224193,2406,30726,1322,193467,2294,15.4,0.5,19.0,2.1,14.8,0.5,32.5,0.8,49.2,2.7,29.8,0.8,52.2,0.8,31.8,2.4,55.4,0.9,0.9,(X),(X),(X),(X),(X)
