,fips,year,households_total,households_snap,household_snap_rate,unemployment_rate,poverty_rate
1,01,2008,1811009,182915,10.1,6.8,12.5
2,02,2008,235500,18577,7.89,8.7,6.7
3,04,2008,2250241,163764,7.28,5.6,10.2
4,05,2008,1106185,134680,12.18,6.9,13.2
5,06,2008,12177852,557897,4.58,6.9,9.6
6,08,2008,1866621,93545,5.01,5.3,8.3
7,09,2008,1325680,77947,5.88,6.2,6.0
8,10,2008,325746,22774,6.99,6.0,7.1
9,11,2008,250423,24107,9.63,8.1,14.5
10,12,2008,7080705,480380,6.78,6.4,9.0
11,13,2008,3421866,287445,8.4,6.9,11.0
12,15,2008,436449,29419,6.74,4.3,6.3
13,16,2008,556915,36819,6.61,5.3,9.0
14,17,2008,4751748,388996,8.19,7.1,8.9
15,18,2008,2463700,212389,8.62,6.7,9.0
16,19,2008,1207657,97310,8.06,4.5,7.2
17,20,2008,1095794,71456,6.52,5.0,8.0
18,21,2008,1666775,216320,12.98,6.8,13.1
19,22,2008,1590100,272575,17.14,6.9,14.2
20,23,2008,544101,69590,12.79,5.8,8.4
21,24,2008,2086828,105832,5.07,5.4,5.3
22,25,2008,2457167,170171,6.93,5.9,7.1
23,26,2008,3844581,414310,10.78,9.5,10.0
24,27,2008,2072355,107658,5.19,5.2,6.4
25,28,2008,1079088,155348,14.4,8.6,16.7
26,29,2008,2317739,243390,10.5,6.3,9.7
27,30,2008,373455,28571,7.65,4.8,9.5
28,31,2008,702293,47614,6.78,4.5,7.5
29,32,2008,947147,41032,4.33,6.0,7.6
30,33,2008,503994,24162,4.79,4.6,4.9
31,34,2008,3149545,133804,4.25,6.0,6.3
32,35,2008,736392,66075,8.97,6.0,13.7
33,36,2008,7111130,701235,9.86,6.3,10.5
34,37,2008,3533366,323986,9.17,6.7,10.8
35,38,2008,273213,18253,6.68,3.3,7.5
36,39,2008,4506487,428752,9.51,7.0,9.7
37,40,2008,1399079,146661,10.48,5.3,12.0
38,41,2008,1464672,160719,10.97,6.5,9.3
39,42,2008,4877735,392051,8.04,5.9,8.2
40,44,2008,402707,28240,7.01,6.6,7.9
41,45,2008,1686571,171202,10.15,7.3,11.5
42,46,2008,314820,24154,7.67,4.2,8.4
43,47,2008,2408031,296660,12.32,7.0,11.9
44,48,2008,8258094,777415,9.41,6.0,12.8
45,49,2008,834483,43954,5.27,4.1,6.9
46,50,2008,252423,21682,8.59,4.8,6.6
47,51,2008,2931657,180555,6.16,4.8,7.0
48,53,2008,2510116,207031,8.25,6.0,7.9
49,54,2008,742527,93447,12.58,6.2,12.7
50,55,2008,2236518,137901,6.17,5.4,7.0
51,56,2008,207018,8823,4.26,3.5,5.5
52,72,2008,1210537,377487,31.18,15.5,41.4
54,01,2009,1830114,199585,10.91,8.3,12.7
55,02,2009,236801,20024,8.46,8.6,6.0
56,04,2009,2269436,195591,8.62,7.5,10.8
57,05,2009,1115865,143373,12.85,7.6,13.9
58,06,2009,12198310,630884,5.17,8.4,10.0
59,08,2009,1888359,100333,5.31,6.3,8.4
60,09,2009,1326092,89728,6.77,7.3,6.3
61,10,2009,328108,25901,7.89,6.9,7.2
62,11,2009,250365,27543,11.0,9.0,13.8
63,12,2009,7040213,528048,7.5,8.6,9.7
64,13,2009,3455025,322689,9.34,8.4,11.6
65,15,2009,440372,31309,7.11,5.3,6.4
66,16,2009,560900,42294,7.54,6.8,9.4
67,17,2009,4766343,427165,8.96,8.2,9.3
68,18,2009,2475551,235308,9.51,8.2,9.7
69,19,2009,1220711,108610,8.9,4.9,7.3
70,20,2009,1100446,78925,7.17,5.6,8.2
71,21,2009,1681965,232986,13.85,7.8,13.8
72,22,2009,1657890,252973,15.26,6.9,13.8
73,23,2009,542008,72863,13.44,6.4,8.3
74,24,2009,2089382,120400,5.76,6.3,5.6
