country,country_code,year,Prevalence of undernourishment (% of population),Crop production index (2004-2006 = 100),Agricultural land (% of land area),Food production index (2004-2006 = 100),Food exports (% of merchandise exports),Food imports (% of merchandise imports),Land area (sq. km),Population (Total),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",GDP (constant 2005 US$),GDP per capita (constant 2005 US$),Adjusted net national income (constant 2005 US$)
Afghanistan,AFG,1990,,68.35,58.32298422335679,69.2,,,652230.0,11731193.0,,,,,,
Afghanistan,AFG,1991,,70.27,58.307652208576734,70.46,,,652230.0,12612043.0,18.5,6.90000009536743,8.69999980926514,,,
Afghanistan,AFG,1992,,65.81,58.307652208576734,68.25,,,652230.0,13811876.0,18.6000003814697,6.90000009536743,8.69999980926514,,,
Afghanistan,AFG,1993,,71.38,58.16046486668813,73.31,,,652230.0,15175325.0,18.3999996185303,6.90000009536743,8.60000038146973,,,
Afghanistan,AFG,1994,,74.83,57.974947487849384,78.96,,,652230.0,16485018.0,18.7000007629395,6.90000009536743,8.60000038146973,,,
Afghanistan,AFG,1995,,76.88,57.882955399169,83.18,,,652230.0,17586073.0,18.7000007629395,6.90000009536743,8.60000038146973,,,
Afghanistan,AFG,1996,,78.78,57.881422197691,88.85,,,652230.0,18415307.0,18.7000007629395,6.90000009536743,8.60000038146973,,,
Afghanistan,AFG,1997,,84.0,57.93968385385524,96.27,,,652230.0,19021226.0,18.6000003814697,6.90000009536743,8.5,,,
Afghanistan,AFG,1998,,89.68,58.057740367661715,103.24,,,652230.0,19496836.0,18.6000003814697,6.80000019073486,8.5,,,
Afghanistan,AFG,1999,,83.11,57.882955399169,102.21,,,652230.0,19987071.0,18.6000003814697,6.90000009536743,8.5,,,
Afghanistan,AFG,2000,,68.56,57.882955399169,85.62,,,652230.0,20595360.0,18.0,6.69999980926514,8.30000019073486,,,
Afghanistan,AFG,2001,,73.46,57.882955399169,78.23,,,652230.0,21347782.0,17.8999996185303,6.69999980926514,8.30000019073486,,,
Afghanistan,AFG,2002,,87.81,57.882955399169,95.76,,,652230.0,22202806.0,18.0,6.80000019073486,8.30000019073486,5150441045.962505,231.972528425574,
Afghanistan,AFG,2003,,98.55,58.12366803121598,99.47,,,652230.0,23116142.0,18.6000003814697,6.80000019073486,8.5,5585352694.994629,241.6213179082664,
Afghanistan,AFG,2004,,89.14,58.12520123269399,97.29,,,652230.0,24018682.0,17.7000007629395,6.69999980926514,8.19999980926514,5644309209.6529875,234.99662511260973,
Afghanistan,AFG,2005,,108.19,58.12366803121598,105.75,,,652230.0,24860855.0,12.5,7.80000019073486,8.5,6275076015.722541,252.40789247684927,5505939676.63544
Afghanistan,AFG,2006,,102.67,58.12366803121598,96.97,,,652230.0,25631282.0,12.3999996185303,7.69999980926514,8.39999961853027,6623602374.809347,258.41869223745215,
Afghanistan,AFG,2007,,120.9,58.12366803121598,107.58,,,652230.0,26349243.0,12.6000003814697,7.90000009536743,8.60000038146973,7533698917.3450985,285.9170913314321,
Afghanistan,AFG,2008,,102.58,58.12366803121598,99.99,52.524081176702396,17.36952940180363,652230.0,27032197.0,12.3000001907349,7.69999980926514,8.39999961853027,7805768540.140518,288.75819971793334,
Afghanistan,AFG,2009,,130.29,58.12366803121598,116.35,54.67931958309662,18.293616152061087,652230.0,27708187.0,12.6999998092651,8.0,8.69999980926514,9446591724.800217,340.9314266862793,
Afghanistan,AFG,2010,,125.15,58.12366803121598,115.96,40.04707096606527,13.691847605571272,652230.0,28397812.0,12.3999996185303,7.80000019073486,8.5,10243250245.699793,360.70561512625665,
Afghanistan,AFG,2011,,112.88,58.12366803121598,110.63,39.14517520090777,14.02927132084047,652230.0,29105480.0,12.3999996185303,7.80000019073486,8.5,10869490318.094498,373.451677075743,
Afghanistan,AFG,2012,,133.05,,122.85,17.437222767839355,4.276023381868775,652230.0,29824536.0,13.1000003814697,7.80000019073486,8.60000038146973,12433119537.880554,416.8755395852782,
Afghanistan,AFG,2013,,,,,,,,,,,,,,
Albania,ALB,1990,,84.31,40.912408759124084,68.73,,,27400.0,3446882.0,,,,5620432320.347164,1630.5844877623208,
Albania,ALB,1991,,60.99,41.13138686131387,58.31,,,27400.0,3459763.0,22.5,8.69999980926514,14.3000001907349,3957402731.8442874,1143.8363644689787,2342795072.7083
Albania,ALB,1992,,66.81,41.13138686131387,63.41,,,27400.0,3446858.0,28.1000003814697,11.6000003814697,18.2999992370605,3672469735.151493,1065.4543166998737,1681287026.8096063
Albania,ALB,1993,,80.47,41.09489051094891,72.26,,,27400.0,3417280.0,33.0999984741211,15.3999996185303,22.7000007629395,4025026829.7260475,1177.84519551399,2530826008.316093
Albania,ALB,1994,,79.0,41.09489051094891,79.35,,,27400.0,3384367.0,33.0,14.8999996185303,22.2999992370605,4359104056.59331,1288.0116301196974,3184593721.8342543
Albania,ALB,1995,,81.28,41.13138686131387,85.32,,,27400.0,3357858.0,32.9000015258789,13.8999996185303,21.7999992370605,4938864896.120217,1470.8379258801942,3699704154.5748315
Albania,ALB,1996,,79.63,41.27737226277372,86.01,11.076726670973438,34.27417545311732,27400.0,3341043.0,30.0,12.1000003814697,19.5,5388301601.667153,1612.760327139505,4240711019.1352434
Albania,ALB,1997,,82.78,41.42335766423358,81.72,11.085398938973485,27.17921337358436,27400.0,3331317.0,32.2999992370605,13.0,21.0,4838694838.297104,1452.487060912277,3724994936.1984653
Albania,ALB,1998,,88.78,41.56934306569343,83.99,9.82044431818301,26.941015313925092,27400.0,3325456.0,29.5,12.0,19.2999992370605,5453209082.760836,1639.8379899661386,4347453193.376873
Albania,ALB,1999,,81.91,41.78832116788321,82.63,5.532591892253742,27.3680538006177,27400.0,3317941.0,29.7999992370605,12.3999996185303,19.7000007629395,6003983200.119679,1809.550923334586,4911841011.746225
Albania,ALB,2000,,85.55,41.75182481751825,86.41,6.616207793256386,21.834427208477617,27400.0,3304948.0,14.3000001907349,12.8999996185303,13.5,6442273973.728421,1949.281493605473,5358692674.082264
Albania,ALB,2001,,88.51,41.56934306569343,89.32,5.750397883972315,19.36315448988623,27400.0,3286084.0,28.8999996185303,18.2999992370605,22.7000007629395,6893233151.889405,2097.7044871310063,5845297248.558378
Albania,ALB,2002,,86.35,41.605839416058394,89.83,3.4632852333515194,20.162138902654466,27400.0,3263596.0,15.6999998092651,11.5,13.1999998092651,7093136913.294201,2173.411449607795,6093955141.275945
Albania,ALB,2003,,91.42,40.912408759124084,95.19,5.621865369307071,19.621504185483833,27400.0,3239385.0,12.3999996185303,13.0,12.6999998092651,7497445717.351969,2314.465775865471,6567563186.440893
Albania,ALB,2004,,97.76,40.948905109489054,99.76,5.66959491054423,19.263877157017816,27400.0,3216197.0,12.5,12.8000001907349,12.6000003814697,7939795014.675739,2468.6905107727353,7071829342.529273
Albania,ALB,2005,,97.4,39.306569343065696,97.97,9.338585433539478,16.241134110008353,27400.0,3196130.0,12.1999998092651,12.8000001907349,12.5,8376483740.482892,2620.820723963948,7440553365.06041
Albania,ALB,2006,,104.84,40.87591240875913,102.27,7.698351573347957,19.96502337326648,27400.0,3179573.0,13.1000003814697,12.0,12.3999996185303,8795307927.507042,2766.1915381427134,7904404929.139497
Albania,ALB,2007,,102.16,40.839416058394164,103.9,5.2294155585386735,16.42150053736941,27400.0,3166222.0,12.6999998092651,14.0,13.5,9314231095.229958,2941.749218857666,9102888380.845297
Albania,ALB,2008,,119.2,43.1021897810219,108.17,4.3110730204741845,16.416023954208043,27400.0,3156608.0,13.8999996185303,12.3999996185303,13.0,10031426889.562668,3177.913408811822,10326149192.649403
Albania,ALB,2009,,127.83,43.84306569343065,112.65,5.6242076249348765,17.073362186971483,27400.0,3151185.0,16.3999996185303,12.0,13.8000001907349,10362463976.918236,3288.434026221322,9582920814.670954
Albania,ALB,2010,,140.82,43.84306569343065,119.21,4.471958017591972,17.929999440496704,27400.0,3150143.0,17.1000003814697,12.1999998092651,14.1999998092651,10725150216.110325,3404.655031885957,9531030954.088545
Albania,ALB,2011,,149.17,43.832116788321166,125.12,4.109861137519386,16.60874314752483,27400.0,3153883.0,17.2000007629395,12.1999998092651,14.3000001907349,11046904722.593721,3502.636186121591,10048051062.89427
Albania,ALB,2012,,163.87,,135.78,4.577602011519349,17.27908630385057,27400.0,3162083.0,17.8999996185303,12.6000003814697,14.6999998092651,11223655198.155155,3549.4499031667274,9389059316.167772
Albania,ALB,2013,,,,,,,,,,,,,,
Algeria,DZA,1990,,41.09,16.238548288226255,50.73,0.44968095347486,23.68783612039662,2381740.0,26239708.0,,,,66766365310.22855,2544.4782125711367,43687675898.26489
Algeria,DZA,1991,5.5,54.72,16.21587578828923,59.45,0.45470029698649356,26.074515322305576,2381740.0,26893663.0,37.4000015258789,18.2999992370605,20.6000003814697,65965168516.61047,2452.8145725857603,42922584881.4395
Algeria,DZA,1992,5.2,60.63,16.317902038005826,64.93,0.7274409073006514,28.50745401802794,2381740.0,27535151.0,41.7000007629395,20.3999996185303,23.0,67152543076.76959,2438.7933473388102,42959473715.642784
Algeria,DZA,1993,5.2,54.32,16.316642454675993,62.44,0.9791747078656112,27.358239184323015,2381740.0,28157560.0,42.0,20.6000003814697,23.2000007629395,65742339164.91196,2334.8024177134653,39625848863.81678
Algeria,DZA,1994,5.7,45.49,16.643294398213072,57.78,0.40053798810669405,33.03614675026009,2381740.0,28752749.0,44.2000007629395,21.6000003814697,24.3999996185303,65150660371.975784,2265.8932671785847,39136965667.05623
Algeria,DZA,1995,6.3,55.23,16.647073148202573,64.81,1.179713399784435,29.45387838953023,2381740.0,29315463.0,51.2999992370605,24.5,27.8999996185303,67626382084.47434,2306.8502136389366,39344979880.74537
Algeria,DZA,1996,6.7,72.92,16.641614953773292,76.37,1.2234541376345778,31.268667829171303,2381740.0,29845208.0,53.9000015258789,25.2000007629395,28.8999996185303,70399062720.07576,2358.8062351609597,40762311655.80405
Algeria,DZA,1997,6.9,51.83,16.664287453710315,62.82,0.2681846677580134,31.82310342393698,2381740.0,30345466.0,45.5,22.3999996185303,25.3999996185303,71173452358.75967,2345.439426066473,43037456559.342674
Algeria,DZA,1998,6.8,60.77,16.72138856466281,69.83,0.34163930157430855,29.87436722494253,2381740.0,30820435.0,45.7999992370605,22.7000007629395,25.7999992370605,74803300996.02596,2427.0683069861266,43564238200.034164
Algeria,DZA,1999,6.6,66.87,16.68150175921805,73.66,0.22312446120830715,27.42254417981102,2381740.0,31276295.0,45.7000007629395,22.3999996185303,25.5,77197007775.60571,2468.227383569752,43867828721.856186
Algeria,DZA,2000,6.3,56.93,16.80326148110205,69.78,0.16345838056273349,28.166838261344008,2381740.0,31719449.0,53.7000007629395,26.1000003814697,29.7999992370605,78895342489.78035,2487.286033555638,46866813132.843636
Algeria,DZA,2001,6.1,65.95,16.840209258777197,74.41,0.14860644405786305,26.13383769283185,2381740.0,32150198.0,49.5,23.7999992370605,27.2999992370605,82534408893.21123,2567.1508739452,51257575518.29337
Algeria,DZA,2002,5.5,67.39,16.73356453685121,76.2,0.23163836559264495,25.081582927562916,2381740.0,32572977.0,44.9000015258789,22.7999992370605,25.8999996185303,87156335791.23093,2675.7252120747494,53258035567.02445
Algeria,DZA,2003,5.2,86.46,16.75485149512541,88.41,0.20958769536593894,22.41993551790644,2381740.0,33003442.0,39.2000007629395,21.1000003814697,23.7000007629395,93431591968.19942,2830.965084435721,55492073700.355804
Algeria,DZA,2004,5.2,98.78,17.27518536868004,97.92,0.19361970668616585,21.912088418569653,2381740.0,33461345.0,22.2999992370605,19.7000007629395,20.1000003814697,97449150422.83194,2912.2902986365893,58308278374.2131
Algeria,DZA,2005,5.0,98.96,17.3028962019364,99.06,0.1530828614629639,19.32617549023532,2381740.0,33960903.0,25.8999996185303,13.3999996185303,15.3000001907349,103198650297.77919,3038.748713418462,61620979558.2436
Algeria,DZA,2006,5.0,102.27,17.290300368638054,103.01,0.16047830848908914,19.204379329955454,2381740.0,34507214.0,20.6000003814697,10.8000001907349,12.3000001907349,104953027352.84126,3041.480756830768,68605318525.31174
Algeria,DZA,2007,5.0,85.9,17.320110507444138,93.26,0.16301850708318255,19.832259171727067,2381740.0,35097043.0,22.7999992370605,12.1000003814697,13.8000001907349,108521430282.83792,3092.039129417197,73792139605.10497
Algeria,DZA,2008,5.0,89.32,17.34404259071099,95.96,0.16033495516670804,21.42498030813891,2381740.0,35725377.0,18.2000007629395,10.0,11.3000001907349,110691858888.49486,3098.40981911807,71270616514.8789
Algeria,DZA,2009,5.0,123.43,17.373852729517075,119.29,0.25740348033438004,16.338165701115486,2381740.0,36383302.0,18.2999992370605,8.60000038146973,10.1999998092651,112573620489.59909,3094.1012580331244,71486436121.5913
Algeria,DZA,2010,5.0,127.18,17.37091370174746,124.98,0.5607289030312353,16.3002029011608,2381740.0,37062820.0,19.3999996185303,8.10000038146973,10.0,116626270827.22481,3146.7187555405876,
Algeria,DZA,2011,5.0,138.21,17.37511231284691,135.6,0.48843896010071886,22.791169125668358,2381740.0,37762962.0,19.2999992370605,8.0,9.89999961853027,119658553868.73273,3168.6750067098214,
Algeria,DZA,2012,5.0,147.8,,142.43,0.4450649502403487,19.852244350189522,2381740.0,38481705.0,18.6000003814697,8.0,9.80000019073486,123607286146.40068,3212.105236667676,
Algeria,DZA,2013,,,,,,,,,,,,,,
American Samoa,ASM,1990,,42.08,15.0,52.87,,,200.0,47044.0,,,,,,
American Samoa,ASM,1991,,37.49,15.0,47.28,,,200.0,48379.0,,,,,,
American Samoa,ASM,1992,,37.67,16.0,47.49,,,200.0,49597.0,,,,,,
American Samoa,ASM,1993,,40.02,16.0,49.86,,,200.0,50725.0,,,,,,
American Samoa,ASM,1994,,40.96,16.0,50.09,,,200.0,51807.0,,,,,,
American Samoa,ASM,1995,,42.12,17.5,51.2,,,200.0,52874.0,,,,,,
American Samoa,ASM,1996,,46.96,20.0,55.8,,,200.0,53926.0,,,,,,
American Samoa,ASM,1997,,46.95,20.0,55.86,,,200.0,54942.0,,,,,,
American Samoa,ASM,1998,,80.33,23.95,84.92,,,200.0,55899.0,,,,,,
American Samoa,ASM,1999,,62.97,23.95,69.45,,,200.0,56768.0,,,,,,
American Samoa,ASM,2000,,69.42,24.0,74.98,,,200.0,57522.0,,,,,,
American Samoa,ASM,2001,,76.49,22.5,80.53,,,200.0,58176.0,,,,,,
American Samoa,ASM,2002,,79.99,22.5,83.33,,,200.0,58729.0,,,,,,
American Samoa,ASM,2003,,96.26,25.0,96.24,,,200.0,59117.0,,,,,,
American Samoa,ASM,2004,,92.5,25.0,92.8,,,200.0,59262.0,,,,,,
American Samoa,ASM,2005,,107.64,25.0,105.07,,,200.0,59117.0,,,,,,
